commit	clean_compile_s	incremental_compile_s	wall_time_ms	fitness	status	description
7661541	360.6	71.3	119.5	1.000	keep	baseline
c39c228	363.7	73.8	84.8	1.022	discard	mold linker (v1.0.3) + clang + target-cpu=native: no compile improvement
448804d	100.7	71.3	86.0	0.640	keep	sccache: clean build -72% on cache-warm runs (cold=374.8s, warm=100.7s)
6dada06	105.8	73.7	64.8	1.042	discard	sccache+mold: mold adds overhead, worse than sccache-only
11101ef	99.9	70.8	100.1	0.636	discard	strip=debuginfo: compile slightly better (+0.6%) but wall_time 100ms>86ms (16% regression, high noise)
a31d5a2	96.5	67.9	85.2	0.610	keep	stable toolchain (1.94.1): clean -4.2%, incremental -4.8% vs nightly (warm sccache)
a483dd6	111.5	81.3	59.2	0.725	discard	codegen-units=16: link overhead dominates, both metrics worse
507e1ec	106.7	77.7	68.9	0.693	discard	codegen-units=8: still worse than 4 due to link overhead
6aa6fab	99.4	68.2	112.8	0.616	discard	stable+sccache+mold: no compile gain, runtime regression (high noise)
4469639	97.3	68.0	110.1	0.612	discard	histogram.rs split (566+548 lines): no incremental improvement, bottleneck is linking not compilation
8227c7b	97.6	68.3	100.7	0.614	discard	gold linker (-fuse-ld=gold): no improvement over ld.bfd, link/ThinLTO step dominates
c1a7666	97.0	68.2	70.3	0.613	discard	sparse registry index: no compile improvement (only affects crate index fetch)
eec6a6a	96.6	72.3	119.0	0.641	discard	incremental=false: worse incremental (+6.5%), Rust reuses LLVM IR within crate with incremental=true
88fce62	88.5	59.7	110.2	0.544	discard	codegen-units=2: compile -8%/-12% but wall_time regress 100-120ms (threshold 87.8ms)
561213f	100.0	70.5	70.1	0.633	discard	target-cpu=native: compile +3.6%/+3.8% worse but wall_time -24% (mean ~70ms vs ~92ms)
c8887d6	92.0	62.8	85.5	0.568	keep	codegen-units=2+target-cpu=native: compile -4.7%/-7.5%, fitness 0.568 (wall_time 55-85ms, passes guard)
fe3b7c3	93.2	63.3	85.3	0.573	discard	codegen-units=1: slightly worse than 2 (clean +1.3%, incr +0.8%), 2 is sweet spot
c143e61	91.8	62.8	65.4	0.567	discard	cdylib+rlib crate-type: no improvement (cdylib still non-cacheable in sccache)
748ceb8	114.8	84.7	95.0	0.753	discard	per-dep codegen-units=16: catastrophically worse (+27%/+35%), ThinLTO slower with more bitcode modules per dep
ea9a928	91.9	62.7	96.1	0.567	discard	remove polars-arrow direct dep: neutral (already transitive, same compile time)
prefer-dynamic	N/A	N/A	N/A	N/A	crash	prefer-dynamic: incompatible with cdylib (requires static std, build failed)
